datetime,假日,周末,早高峰,晚高峰,阵雨,晴,雷阵雨,多云,阴,小雨,雨夹雪,中雨,大雨,小到中雨,暴雨,中到大雨,实际人数,滤波人数,测试集,BP_NO,BP_YES,RNN_NO,RNN_YES,FBP_NO,FBP_YES,FRNN_NO,FRNN_YES
2017-03-03 17:00:00,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.6621798677516284,0,6.920576561242342e-05,1.6860617399215698,0.0342835895717144,1.6162010431289673,2.30063459426038e-19,1.7788134813308716,4.3080925138383463e-07,1.6419992446899414
2017-03-03 18:00:00,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.26214925897616,0,1.6580630699536414e-06,1.3574504852294922,0.03133067488670349,1.2463051080703735,2.20675838352962e-19,1.4983179569244385,4.3284777007102093e-07,1.3005502223968506
2017-03-03 19:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9583925198714459,0,9.730045348987915e-06,1.041835069656372,0.016730261966586113,0.9026854634284973,3.465436066107941e-06,0.9506111741065979,0.022532261908054352,0.9139482378959656
2017-03-03 20:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.727739778487553,0,0.00319594144821167,0.8826903104782104,0.056869395077228546,0.7135619521141052,0.0070776622742414474,0.74405437707901,0.07828664034605026,0.7558792233467102
2017-03-03 21:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5525973692534154,0,0.0011461536632850766,0.6375885605812073,0.06245410442352295,0.5900112986564636,8.271475962828845e-05,0.5490102767944336,0.06355027109384537,0.6737146973609924
2017-03-03 22:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.6602720861824534,0,1.4643346071243286,0.6030802130699158,0.1357380896806717,0.5672538876533508,0.5238767266273499,0.5436530113220215,0.19646751880645752,0.6532236337661743
2017-03-03 23:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.7420331319146954,0,0.528006911277771,0.6710889339447021,0.21940916776657104,0.6554136872291565,1.8994309902191162,0.6223277449607849,0.29148536920547485,0.7667299509048462
2017-03-04 00:00:00,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,2.0074483423675393,0,1.4675406217575073,1.0513442754745483,0.6113445162773132,0.9093430638313293,6.480443954467773,1.3581355810165405,2.044069528579712,1.243829607963562
2017-03-04 01:00:00,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,3.930985841108226,0,2.848534345626831,2.6985397338867188,2.798572063446045,2.156829595565796,9.776371002197266,3.80692458152771,7.518037796020508,2.8755195140838623
2017-03-04 02:00:00,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32,10.686250442463953,0,6.604590892791748,5.099685192108154,6.146604537963867,4.709383964538574,15.18679428100586,10.0474271774292,10.582749366760254,5.759570598602295
2017-03-04 03:00:00,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,11.724424406115824,0,13.604817390441895,10.59411334991455,7.509940147399902,9.930374145507812,14.963977813720703,12.126087188720703,11.731245040893555,10.49094009399414
2017-03-04 04:00:00,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,10.587414863431004,0,6.993480205535889,10.907058715820312,7.027850151062012,9.972746849060059,9.530641555786133,11.675471305847168,7.772736072540283,10.257701873779297
2017-03-04 05:00:00,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,9.242712636756345,0,4.318020343780518,9.3827543258667,4.752741813659668,9.06279182434082,4.623823642730713,9.800758361816406,5.275770664215088,9.13759994506836
2017-03-04 06:00:00,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,8.702967378859782,0,6.422798156738281,9.1064453125,6.791322708129883,8.4597806930542,7.830326557159424,8.789711952209473,6.218105792999268,8.156915664672852
2017-03-04 07:00:00,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,7.330455560702681,0,4.231297016143799,8.28166675567627,6.395610332489014,7.9078779220581055,4.978046417236328,7.780312538146973,5.138525485992432,7.538374900817871
2017-03-04 08:00:00,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,6.769593541640271,0,4.553083896636963,6.641547203063965,6.445572376251221,6.907055377960205,8.141317367553711,6.63859224319458,5.17188835144043,6.591107368469238
2017-03-04 09:00:00,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.140380796278415,0,0.2632213830947876,5.916572570800781,5.366281986236572,6.366903305053711,4.956526279449463,5.7310662269592285,5.035171985626221,5.921103477478027
2017-03-04 10:00:00,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.9032645857118187,0,0.35713502764701843,4.965615749359131,1.66835355758667,4.756496906280518,0.2933960556983948,4.402254581451416,1.120144009590149,4.664560317993164
2017-03-04 11:00:00,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,4.167211793805951,0,4.961197853088379,4.272843360900879,1.599094033241272,3.663735866546631,6.59199857711792,4.050767421722412,1.1032016277313232,3.905287742614746
2017-03-04 12:00:00,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3.6456370412526886,0,2.6688106060028076,4.313782691955566,1.9533100128173828,3.7281832695007324,2.5900979042053223,4.027294635772705,1.0893515348434448,3.7671122550964355
2017-03-04 13:00:00,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3.4902539905545327,0,2.9698517322540283,3.5161073207855225,0.3125746250152588,3.2680323123931885,2.376941204071045,3.491901397705078,0.5356788635253906,3.211071491241455
2017-03-04 14:00:00,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.6502676234286096,0,0.0001890916028060019,2.8256614208221436,0.014860519208014011,2.692535638809204,2.3249956939253025e-05,2.774559259414673,0.08342868089675903,2.6394927501678467
2017-03-04 15:00:00,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.012437631989633,0,5.7900466345017776e-05,2.2604846954345703,0.007314466405659914,2.1415371894836426,8.83718653810206e-11,2.2340304851531982,0.0792575255036354,2.164422035217285
2017-03-04 16:00:00,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5281117977846865,0,3.5166533507435815e-06,1.8192521333694458,0.0017326963134109974,1.6621590852737427,1.0148905086846266e-25,1.5612688064575195,4.799483690476336e-07,1.5775394439697266
2017-03-04 17:00:00,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.1603468497158258,0,9.684891083550085e-11,1.2863065004348755,0.0017798686167225242,1.3294061422348022,3.444325401299191e-31,1.3002287149429321,5.478548246173887e-07,1.3071054220199585
2017-03-04 18:00:00,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8810905154958772,0,5.1401222687930126e-12,0.945411205291748,0.0027805669233202934,0.9369174838066101,5.2533425463075415e-27,0.9565010070800781,4.923252845401294e-07,0.9393008351325989
2017-03-04 19:00:00,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6690417582354061,0,1.4150106864008194e-08,0.7482312321662903,0.007706973236054182,0.6694691777229309,1.2451229380872064e-08,0.6192311644554138,0.14254021644592285,0.8111626505851746
2017-03-04 20:00:00,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5080259818831497,0,3.572073865143466e-06,0.4054105877876282,0.04464858025312424,0.46689319610595703,1.1383670425857417e-05,0.3332831859588623,0.19268302619457245,0.580615758895874
2017-03-04 21:00:00,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.38576126989300397,0,0.0004926814581267536,0.643665075302124,0.19980695843696594,0.4246225357055664,0.0002067355962935835,0.2813267111778259,0.3393580913543701,0.4809311330318451
2017-03-04 22:00:00,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.5335878065424589,0,0.02224046364426613,0.717573344707489,0.7456963062286377,0.4915672838687897,0.04458640143275261,0.2918255031108856,0.9516278505325317,0.54453045129776
2017-03-04 23:00:00,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0.8865037417222515,0,1.0632928609848022,1.0763518810272217,2.337376594543457,0.8602010607719421,1.9672781229019165,0.4894987940788269,1.7353664636611938,0.9763383865356445
